Order,Family,Genus,species,binom,Sexual.System,Karyotype,female2N,male2N,haploid.num,chromosome
Coleoptera,Curculionidae,Paratrachelophorus,longicornis,Paratrachelophorus longicornis,gonochorous,XY,30,30,15,mono
Coleoptera,Curculionidae,Phloeophagosoma,takenouchii,Phloeophagosoma takenouchii,gonochorous,XY,32,32,16,mono
Coleoptera,Curculionidae,Phyllobius,annectans,Phyllobius annectans,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Phyllobius,arborator,Phyllobius arborator,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Phyllobius,argentatus,Phyllobius argentatus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Phyllobius,armatus,Phyllobius armatus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Phyllobius,brevis,Phyllobius brevis,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Phyllobius,brevitarsis,Phyllobius brevitarsis,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Phyllobius,caucasicus,Phyllobius caucasicus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Phyllobius,galloisi,Phyllobius galloisi,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Phyllobius,incomptus,Phyllobius incomptus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Phyllobius,intrusus,Phyllobius intrusus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Phyllobius,longicornis,Phyllobius longicornis,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Phyllobius,maculicornis,Phyllobius maculicornis,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Phyllobius,mundus,Phyllobius mundus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Phyllobius,nigritus,Phyllobius nigritus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Phyllobius,oblongus,Phyllobius oblongus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Phyllobius,prolongatus,Phyllobius prolongatus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Phyllobius,pyri,Phyllobius pyri,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Phyllobius,rotundicollis,Phyllobius rotundicollis,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Phyllobius,sp. 1    ,Phyllobius sp. 1    ,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Phyllobius,urticae,Phyllobius urticae,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Phyllobius,viridicollis,Phyllobius viridicollis,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Phyllobius,longicornis,Phyllobius longicornis,gonochorous,XY,24,24,12,mono
Coleoptera,Curculionidae,Phymatapoderus,pavens,Phymatapoderus pavens,gonochorous,XY,24,24,12,mono
Coleoptera,Curculionidae,Phymatapoderus,latipennis,Phymatapoderus latipennis,gonochorous,XY,32,32,16,mono
Coleoptera,Curculionidae,Phytobius,sp. 1    ,Phytobius sp. 1    ,gonochorous,XY,24,24,12,mono
Coleoptera,Curculionidae,Phytoscaphus,sp. 1    ,Phytoscaphus sp. 1    ,gonochorous,XY,20,20,10,mono
Coleoptera,Curculionidae,Phytoscaphus,inductus,Phytoscaphus inductus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Pissodes,fiskei,Pissodes fiskei,gonochorous,XY,24,25,12,mono
Coleoptera,Curculionidae,Pissodes,obscurus,Pissodes obscurus,gonochorous,XY,28,28,14,mono
Coleoptera,Curculionidae,Pissodes,schwarzi,Pissodes schwarzi,gonochorous,XY,28,28,14,mono
Coleoptera,Curculionidae,Pissodes,schwarzi yosemite    ,Pissodes schwarzi yosemite    ,gonochorous,XY,28,28,14,mono
Coleoptera,Curculionidae,Pissodes,terminalis,Pissodes terminalis,gonochorous,XY,28,29,14,mono
Coleoptera,Curculionidae,Pissodes,affinis,Pissodes affinis,gonochorous,XY,30,30,15,mono
Coleoptera,Curculionidae,Pissodes,affinis curriei    ,Pissodes affinis curriei    ,gonochorous,XY,30,30,15,mono
Coleoptera,Curculionidae,Pissodes,dubius,Pissodes dubius,gonochorous,XY,30,30,15,mono
Coleoptera,Curculionidae,Pissodes,dubius fraseri    ,Pissodes dubius fraseri    ,gonochorous,XY,30,30,15,mono
Coleoptera,Curculionidae,Pissodes,dubius piperi    ,Pissodes dubius piperi    ,gonochorous,XY,30,30,15,mono
Coleoptera,Curculionidae,Pissodes,fasciatus,Pissodes fasciatus,gonochorous,XY,30,30,15,mono
Coleoptera,Curculionidae,Pissodes,memorensis,Pissodes memorensis,gonochorous,XY,30,30,15,mono
Coleoptera,Curculionidae,Pissodes,nitidus,Pissodes nitidus,gonochorous,XY,30,30,15,mono
Coleoptera,Curculionidae,Pissodes,notatus,Pissodes notatus,gonochorous,XY,30,30,15,mono
Coleoptera,Curculionidae,Pissodes,OP27O,Pissodes OP27O,gonochorous,XY,30,30,15,mono
Coleoptera,Curculionidae,Pissodes,radiatae,Pissodes radiatae,gonochorous,XY,30,30,15,mono
Coleoptera,Curculionidae,Pissodes,rotundatus,Pissodes rotundatus,gonochorous,XY,30,30,15,mono
Coleoptera,Curculionidae,Pissodes,rotundatus alascensis    ,Pissodes rotundatus alascensis    ,gonochorous,XY,30,30,15,mono
Coleoptera,Curculionidae,Pissodes,rotundatus nigrae    ,Pissodes rotundatus nigrae    ,gonochorous,XY,30,30,15,mono
Coleoptera,Curculionidae,Pissodes,similis,Pissodes similis,gonochorous,XY,30,30,15,mono
Coleoptera,Curculionidae,Pissodes,similis utahensis    ,Pissodes similis utahensis    ,gonochorous,XY,30,30,15,mono
Coleoptera,Curculionidae,Pissodes,validirostris,Pissodes validirostris,gonochorous,XY,30,30,15,mono
Coleoptera,Curculionidae,Pissodes,gyllenhali,Pissodes gyllenhali,gonochorous,XY,32,32,16,mono
Coleoptera,Curculionidae,Pissodes,approximatus,Pissodes approximatus,gonochorous,,,32,16,mono
Coleoptera,Curculionidae,Pissodes,approximatus canadensis    ,Pissodes approximatus canadensis    ,gonochorous,,,32,16,mono
Coleoptera,Curculionidae,Pissodes,OYT3O,Pissodes OYT3O,gonochorous,XY,34,34,17,mono
Coleoptera,Curculionidae,Pissodes,strobi,Pissodes strobi,gonochorous,XY,34,34,17,mono
Coleoptera,Curculionidae,Pissodes,strobi engelmanni    ,Pissodes strobi engelmanni    ,gonochorous,XY,34,34,17,mono
Coleoptera,Curculionidae,Pissodes,strobi sitchensis    ,Pissodes strobi sitchensis    ,gonochorous,XY,34,34,17,mono
Coleoptera,Curculionidae,Pissodes,webbi,Pissodes webbi,gonochorous,XY,34,34,17,mono
Coleoptera,Curculionidae,Platymycterus,himalayanus,Platymycterus himalayanus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Platymycterus,moestus,Platymycterus moestus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Platymycterus,sjostedti,Platymycterus sjostedti,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Platymycterus,sp.,Platymycterus sp.,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Plintini,sp. 1    ,Plintini sp. 1    ,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Podapion,gallicola,Podapion gallicola,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Podeschrus,abietis,Podeschrus abietis,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Polydrusus,calabricus,Polydrusus calabricus,gonochorous,XY,20,20,10,mono
Coleoptera,Curculionidae,Polydrusus,impressifrons,Polydrusus impressifrons,gonochorous,,,20,10,mono
Coleoptera,Curculionidae,Polydrusus,atomarius,Polydrusus atomarius,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Polydrusus,marginatus,Polydrusus marginatus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Polydrusus,pilosus,Polydrusus pilosus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Polydrusus,ruficornis,Polydrusus ruficornis,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Polydrusus,sericeus,Polydrusus sericeus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Polydrusus,sicanus,Polydrusus sicanus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Polydrusus,undatus,Polydrusus undatus,gonochorous,,22,,11,mono
Coleoptera,Curculionidae,Polydrusus,viridicintus,Polydrusus viridicintus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Polydrusus,amoenus,Polydrusus amoenus,gonochorous,,,22,11,mono
Coleoptera,Curculionidae,Procas,biguttatus,Procas biguttatus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Procas,biguttatus,Procas biguttatus,gonochorous,XY,24,24,12,mono
Coleoptera,Curculionidae,Proctorus,decipiens,Proctorus decipiens,gonochorous,,,22,11,mono
Coleoptera,Curculionidae,Protacallinus,sp. 1    ,Protacallinus sp. 1    ,gonochorous,XY,30,30,15,mono
Coleoptera,Curculionidae,Pseudoanthonomus,hamamelidis,Pseudoanthonomus hamamelidis,gonochorous,XY,32,32,16,mono
Coleoptera,Curculionidae,Pseudoanthonomus,hamamelidis,Pseudoanthonomus hamamelidis,gonochorous,XY,38,38,19,mono
Coleoptera,Curculionidae,Pseudphytoscaphus,sp. 1    ,Pseudphytoscaphus sp. 1    ,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Ptochus,oyulum,Ptochus oyulum,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Pycnodactylus,hypocritia,Pycnodactylus hypocritia,gonochorous,,,38,19,mono
Coleoptera,Curculionidae,Rhadinomerus,annulipes,Rhadinomerus annulipes,gonochorous,XY,34,34,17,mono
Coleoptera,Curculionidae,Rhadinomerus,annulipes,Rhadinomerus annulipes,gonochorous,XY,36,36,18,mono
Coleoptera,Curculionidae,Rhadinomerus,maebarai,Rhadinomerus maebarai,gonochorous,XY,44,44,22,mono
Coleoptera,Curculionidae,Rhinocerus,sp. 1    ,Rhinocerus sp. 1    ,gonochorous,XY,20,20,10,mono
Coleoptera,Curculionidae,Rhinomias,forticornis,Rhinomias forticornis,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Rhinoncus,pagnus,Rhinoncus pagnus,gonochorous,XY,20,20,10,mono
Coleoptera,Curculionidae,Rhinoncus,sibiricus,Rhinoncus sibiricus,gonochorous,XY,28,28,14,mono
Coleoptera,Curculionidae,Rhynchaenus,mutabilis,Rhynchaenus mutabilis,gonochorous,XY,24,24,12,mono
Coleoptera,Curculionidae,Rhynchaenus,populi,Rhynchaenus populi,gonochorous,XY,26,26,13,mono
Coleoptera,Curculionidae,Rhynchaenus,sp. 1    ,Rhynchaenus sp. 1    ,gonochorous,XO,26,25,13,mono
Coleoptera,Curculionidae,Rhynchaenus,pallicornis,Rhynchaenus pallicornis,gonochorous,,,26,13,mono
Coleoptera,Curculionidae,Rhynchaenus,niger,Rhynchaenus niger,gonochorous,XY,28,28,14,mono
Coleoptera,Curculionidae,Rhynchaenus,pallicornis,Rhynchaenus pallicornis,gonochorous,XY,28,28,14,mono
Coleoptera,Curculionidae,Rhynchaenus,stigma,Rhynchaenus stigma,gonochorous,XY,28,28,14,mono
Coleoptera,Curculionidae,Rhynchophorus,ferrugineus,Rhynchophorus ferrugineus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Rhyssomatus,marginatus,Rhyssomatus marginatus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Rhyssomatus,marginatus,Rhyssomatus marginatus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Ruteria,hypocrita,Ruteria hypocrita,gonochorous,XY,30,30,15,mono
Coleoptera,Curculionidae,Rynchophorus,palmarum,Rynchophorus palmarum,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Ryssematus,lineaticollis,Ryssematus lineaticollis,gonochorous,XY,24,24,12,mono
Coleoptera,Curculionidae,Scepticus,griseus,Scepticus griseus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Scepticus,insularis,Scepticus insularis,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Scepticus,tigrinus,Scepticus tigrinus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Scythropus,sp. 1    ,Scythropus sp. 1    ,gonochorous,XY,20,20,10,mono
Coleoptera,Curculionidae,Scythropus,japonicus,Scythropus japonicus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Scythropus,ornatus,Scythropus ornatus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Shirahoshizo,insidiosus,Shirahoshizo insidiosus,gonochorous,XY,38,38,19,mono
Coleoptera,Curculionidae,Simulatacalles,simulator,Simulatacalles simulator,gonochorous,XY,24,24,12,mono
Coleoptera,Curculionidae,Sipalus,hypocrita,Sipalus hypocrita,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Sitona,crinitus,Sitona crinitus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Sitona,cylindricollis,Sitona cylindricollis,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Sitona,flavescens,Sitona flavescens,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Sitona,hispidulus,Sitona hispidulus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Sitona,humeralis,Sitona humeralis,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Sitona,lepidus,Sitona lepidus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Sitona,lineata,Sitona lineata,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Sitona,lineatus,Sitona lineatus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Sitona,macularis,Sitona macularis,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Sitona,scissifrons,Sitona scissifrons,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Sitona,sp. 1    ,Sitona sp. 1    ,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Sitona,suturalis,Sitona suturalis,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Sitona,sp. 1    ,Sitona sp. 1    ,gonochorous,XY,24,24,12,mono
Coleoptera,Curculionidae,Sitona,sp. 1    ,Sitona sp. 1    ,gonochorous,XY,26,26,13,mono
Coleoptera,Curculionidae,Sitophilus,granarius,Sitophilus granarius,gonochorous,,12,,6,mono
Coleoptera,Curculionidae,Sitophilus,oryzae,Sitophilus oryzae,gonochorous,XO,12,11,6,mono
Coleoptera,Curculionidae,Sitophilus,oryzae,Sitophilus oryzae,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Sitophilus,oryzae,Sitophilus oryzae,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Sitophilus,sasakii,Sitophilus sasakii,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Sitophilus,zeamais,Sitophilus zeamais,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Sitophilus,zeamais,Sitophilus zeamais,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Sitophilus,granarius,Sitophilus granarius,gonochorous,XY,24,24,12,mono
Coleoptera,Curculionidae,Sphenophorus,parvula,Sphenophorus parvula,gonochorous,XY,30,30,15,mono
Coleoptera,Curculionidae,Strophosoma,capitatum,Strophosoma capitatum,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Strophosoma,faber,Strophosoma faber,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Sympiezomias,cribicollis,Sympiezomias cribicollis,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Sympiezomias,cribricollis,Sympiezomias cribricollis,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Sympiezomias,lewisii,Sympiezomias lewisii,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Sympiezomias,sp. 1    ,Sympiezomias sp. 1    ,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Syrotelus,umbrosus,Syrotelus umbrosus,gonochorous,XY,16,16,8,mono
Coleoptera,Curculionidae,Syrotelus,septentrionalis,Syrotelus septentrionalis,gonochorous,,,16,8,mono
Coleoptera,Curculionidae,Tachypterellus,4-gibbus,Tachypterellus 4-gibbus,gonochorous,XY,34,34,17,mono
Coleoptera,Curculionidae,Tanymecus,cephalotes,Tanymecus cephalotes,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Tanymecus,hispidus,Tanymecus hispidus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Tanymecus,indicus,Tanymecus indicus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Tanymecus,longulus,Tanymecus longulus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Tanymecus,palliatus,Tanymecus palliatus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Tanymecus,sciurus,Tanymecus sciurus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Tanymecus,sp. 1    ,Tanymecus sp. 1    ,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Tanymecus,feae,Tanymecus feae,gonochorous,,,22,11,mono
Coleoptera,Curculionidae,Tanysphyrus,lemnae,Tanysphyrus lemnae,gonochorous,XY,16,16,8,mono
Coleoptera,Curculionidae,Tanysphyrus,major,Tanysphyrus major,gonochorous,XY,16,16,8,mono
Coleoptera,Curculionidae,Tanysphyrus,lemnae,Tanysphyrus lemnae,gonochorous,XY,18,18,9,mono
Coleoptera,Curculionidae,Telephae,konoi,Telephae konoi,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Telephae,konoi,Telephae konoi,gonochorous,XY,26,26,13,mono
Coleoptera,Curculionidae,Thlipsomerus,glebosus,Thlipsomerus glebosus,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Transptochus,sp.,Transptochus sp.,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Trichalophus,albonotatus,Trichalophus albonotatus,gonochorous,XY,28,28,14,mono
Coleoptera,Curculionidae,Tychius,ginsuji,Tychius ginsuji,gonochorous,XY,34,34,17,mono
Coleoptera,Curculionidae,Tychius,sp. 1    ,Tychius sp. 1    ,gonochorous,XY,34,34,17,mono
Coleoptera,Curculionidae,Tychius,aureolus femoralis    ,Tychius aureolus femoralis    ,gonochorous,XY,40,40,20,mono
Coleoptera,Curculionidae,Tychius,stephensi,Tychius stephensi,gonochorous,XY,40,40,20,mono
Coleoptera,Curculionidae,Tylotus,chrysops as O. chrysops  ,Tylotus chrysops as O. chrysops  ,gonochorous,,,22,11,mono
Coleoptera,Curculionidae,Xanium,vanhoeffenianum,Xanium vanhoeffenianum,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Xanthochelus,sp.,Xanthochelus sp.,gonochorous,XY,22,22,11,mono
Coleoptera,Curculionidae,Zacladus,geranii,Zacladus geranii,gonochorous,XY,28,28,14,mono
Coleoptera,Dermestidae,Anthrenus,fasciatus,Anthrenus fasciatus,gonochorous,XY,18,18,9,mono
Coleoptera,Dermestidae,Anthrenus,flavipes,Anthrenus flavipes,gonochorous,XY,18,18,9,mono
Coleoptera,Dermestidae,Anthrenus,sp.,Anthrenus sp.,gonochorous,XY,18,18,9,mono
Coleoptera,Dermestidae,Anthrenus,verbasci,Anthrenus verbasci,gonochorous,XY,18,18,9,mono
Coleoptera,Dermestidae,Attagenus,elongatulus,Attagenus elongatulus,gonochorous,XY,18,18,9,mono
Coleoptera,Dermestidae,Attagenus,megatoma,Attagenus megatoma,gonochorous,XY,18,18,9,mono
Coleoptera,Dermestidae,Dermestes,ater,Dermestes ater,gonochorous,XY,18,18,9,mono
Coleoptera,Dermestidae,Dermestes,caninus,Dermestes caninus,gonochorous,XY,18,18,9,mono
Coleoptera,Dermestidae,Dermestes,frischii,Dermestes frischii,gonochorous,XY,18,18,9,mono
Coleoptera,Dermestidae,Dermestes,haemorrhoidalis,Dermestes haemorrhoidalis,gonochorous,XY,18,18,9,mono
Coleoptera,Dermestidae,Dermestes,lardarius,Dermestes lardarius,gonochorous,XY,18,18,9,mono
Coleoptera,Dermestidae,Dermestes,maculatus,Dermestes maculatus,gonochorous,XY,18,18,9,mono
Coleoptera,Dermestidae,Dermestes,maculatus,Dermestes maculatus,gonochorous,XY,18,18,9,mono
Coleoptera,Dermestidae,Dermestes,peruvianus,Dermestes peruvianus,gonochorous,XY,18,18,9,mono
Coleoptera,Dermestidae,Dermestes,talpinus,Dermestes talpinus,gonochorous,XY,18,18,9,mono
Coleoptera,Dermestidae,Dermestes,vulpinus,Dermestes vulpinus,gonochorous,XY,18,18,9,mono
Coleoptera,Dermestidae,Dermests,signatus,Dermests signatus,gonochorous,XY,18,18,9,mono
Coleoptera,Dermestidae,Orphilus,subnitidus,Orphilus subnitidus,gonochorous,XY,20,20,10,mono
Coleoptera,Dermestidae,Trogoderma,glabrum,Trogoderma glabrum,gonochorous,XY,18,18,9,mono
Coleoptera,Dermestidae,Trogoderma,inclusum,Trogoderma inclusum,gonochorous,XY,18,18,9,mono
Coleoptera,Dermestidae,Trogoderma,parabile,Trogoderma parabile,gonochorous,XY,18,18,9,mono
Coleoptera,Dermestidae,Trogoderma,variabile,Trogoderma variabile,gonochorous,XY,18,18,9,mono
Coleoptera,Dermestidae,Trogoderma,glabrum,Trogoderma glabrum,gonochorous,XY,20,20,10,mono
Coleoptera,Dermestidae,Trogoderma,parabile,Trogoderma parabile,gonochorous,XY,20,20,10,mono
Coleoptera,Dytiscidae,Agabus,conspersus ,Agabus conspersus ,gonochorous,XY,40,40,20,mono
Coleoptera,Dytiscidae,Agabus,bipustulatus ,Agabus bipustulatus ,gonochorous,XY,42,42,21,mono
Coleoptera,Dytiscidae,Agabus,confinis ,Agabus confinis ,gonochorous,XY,42,42,21,mono
Coleoptera,Dytiscidae,Agabus,sturmi ,Agabus sturmi ,gonochorous,XY,42,42,21,mono
Coleoptera,Dytiscidae,Agabus,adpressus,Agabus adpressus,gonochorous,XY,44,44,22,mono
Coleoptera,Dytiscidae,Agabus,affinis,Agabus affinis,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Agabus,biguttatus ,Agabus biguttatus ,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Agabus,binotatus,Agabus binotatus,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Agabus,bipustulatus ,Agabus bipustulatus ,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Agabus,bipustulatus var. solieri,Agabus bipustulatus var. solieri,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Agabus,confinis,Agabus confinis,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Agabus,confinis ,Agabus confinis ,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Agabus,congener,Agabus congener,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Agabus,conspersus ,Agabus conspersus ,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Agabus,infuscatus,Agabus infuscatus,gonochorous,XY,44,44,22,mono
Coleoptera,Dytiscidae,Agabus,labiatus,Agabus labiatus,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Agabus,lapponicus,Agabus lapponicus,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Agabus,melanarius,Agabus melanarius,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Agabus,nebulosus,Agabus nebulosus,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Agabus,nevadensis,Agabus nevadensis,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Agabus,ramblae,Agabus ramblae,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Agabus,ramblae ,Agabus ramblae ,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Agabus,serricornis,Agabus serricornis,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Agabus,sturmi ,Agabus sturmi ,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Agabus,thomsoni,Agabus thomsoni,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Agabus,unguicularis,Agabus unguicularis,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Agabus,wollastoni,Agabus wollastoni,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Boreonectes,emmerichi,Boreonectes emmerichi,gonochorous,XO,54,53,27,mono
Coleoptera,Dytiscidae,Boreonectes,ibericus ,Boreonectes ibericus ,gonochorous,XO,54,53,27,mono
Coleoptera,Dytiscidae,Boreonectes,macedonicus,Boreonectes macedonicus,gonochorous,XO,54,53,27,mono
Coleoptera,Dytiscidae,Boreonectes,alpestris ,Boreonectes alpestris ,gonochorous,XO,56,55,28,mono
Coleoptera,Dytiscidae,Boreonectes,riberae ,Boreonectes riberae ,gonochorous,XO,56,55,28,mono
Coleoptera,Dytiscidae,Boreonectes,multilineatus ,Boreonectes multilineatus ,gonochorous,XO,58,57,29,mono
Coleoptera,Dytiscidae,Boreonectes,griseostriatus ,Boreonectes griseostriatus ,gonochorous,XO,62,61,31,mono
Coleoptera,Dytiscidae,Boreonectes,griseostriatus griseostriatus,Boreonectes griseostriatus griseostriatus,gonochorous,XO,62,61,31,mono
Coleoptera,Dytiscidae,Boreonectes,griseostriatus strandi,Boreonectes griseostriatus strandi,gonochorous,XO,62,61,31,mono
Coleoptera,Dytiscidae,Colymbetes,paykulli ,Colymbetes paykulli ,gonochorous,XY,36,36,18,mono
Coleoptera,Dytiscidae,Colymbetes,fuscus ,Colymbetes fuscus ,gonochorous,,,36,18,mono
Coleoptera,Dytiscidae,Colymbetes,paykulli ,Colymbetes paykulli ,gonochorous,XO,38,37,19,mono
Coleoptera,Dytiscidae,Colymbetes,striatus ,Colymbetes striatus ,gonochorous,XY,40,40,20,mono
Coleoptera,Dytiscidae,Colymbetes,fuscus,Colymbetes fuscus,gonochorous,XO,42,41,21,mono
Coleoptera,Dytiscidae,Colymbetes,paykulli,Colymbetes paykulli,gonochorous,XO,42,41,21,mono
Coleoptera,Dytiscidae,Colymbetes,piceus ,Colymbetes piceus ,gonochorous,XO,42,41,21,mono
Coleoptera,Dytiscidae,Colymbetes,striatus,Colymbetes striatus,gonochorous,XO,42,41,21,mono
Coleoptera,Dytiscidae,Colymbetes,striatus ,Colymbetes striatus ,gonochorous,XY,42,42,21,mono
Coleoptera,Dytiscidae,Colymbetes,adpressus,Colymbetes adpressus,gonochorous,XY,44,44,22,mono
Coleoptera,Dytiscidae,Colymbetes,affinis,Colymbetes affinis,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Colymbetes,biguttatus,Colymbetes biguttatus,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Colymbetes,binotatus,Colymbetes binotatus,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Colymbetes,bipustulatus,Colymbetes bipustulatus,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Colymbetes,bipustulatus var. solieri,Colymbetes bipustulatus var. solieri,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Colymbetes,confinis,Colymbetes confinis,,,44,,22,mono
Coleoptera,Dytiscidae,Colymbetes,congener,Colymbetes congener,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Colymbetes,conspersus,Colymbetes conspersus,gonochorous,XO,44,43,22,mono
Coleoptera,Dytiscidae,Colymbetes,infuscatus,Colymbetes infuscatus,gonochorous,XY,44,44,22,mono
