"Family","Subfamily","Tribe","Species","Haploid Number","Sex Chromosome System"
"Calliphoridae","","","Triceratopyga calliphoroides",6,"XY"
"Calliphoridae","","","Xenocalliphora hortona",6,"XY"
"Cecidomyiidae","","","Asphondylia monacha",4,"XO"
"Cecidomyiidae","","","Asteromyia rubra",4,"XO"
"Cecidomyiidae","","","Caryomyia sp",4,"XO"
"Cecidomyiidae","","","Cecidomyia serotinae",4,"XO"
"Cecidomyiidae","","","Cecidomyia sp.",4,"XO"
"Cecidomyiidae","","","Cecidomyia vicola",4,"XO"
"Cecidomyiidae","","","Dasyneura affinis",4,"XO"
"Cecidomyiidae","","","Lasioptera asterspinosae",4,"XO"
"Cecidomyiidae","","","Lestodiplosis sp",4,"XO"
"Cecidomyiidae","","","Mayetiola destructor",4,"Complex XY"
"Cecidomyiidae","","","Mayetiola hordei",4,"Complex XY"
"Cecidomyiidae","","","Miastor americana",6,"XO"
"Cecidomyiidae","","","Monarthropalpus buxi",4,"XO"
"Cecidomyiidae","","","Oligotrphus pattersoni",4,"XO"
"Cecidomyiidae","","","Ontarinia canadensis",4,"XO"
"Cecidomyiidae","","","Phytophaga celtiphyllia",6,"XO"
"Cecidomyiidae","","","Phytophaga destructor",4,"not reported"
"Cecidomyiidae","","","Rhopalomyia sabinae",4,"XO"
"Cecidomyiidae","","","Taxomyia taxi",4,"XO"
"Cecidomyiidae","","","Trishormomyia helianthi",4,"XO"
"Cecidomyiidae","","","Walshomyia texana",4,"XO"
"Ceratopogonidae","","","Culicoides variipennis",3,"not reported"
"Chamaemyiidae","","","Cremifania nigrocellulata",3,"XY"
"Chamaemyiidae","","","Leucopis obscura",5,"not reported"
"Chaoboridae","Chaoborinae","","Chaoborus americanus",3,"not reported"
"Chaoboridae","Chaoborinae","","Chaoborus flavicans",3,"not reported"
"Chaoboridae","","","Chaoborus plumicornis",4,"not reported"
"Chaoboridae","Chaoborinae","","Chaoborus punctipennis",3,"not reported"
"Chaoboridae","Chaoborinae","","Chaoborus trivittatus",3,"not reported"
"Chaoboridae","Corethrellinae","","Corethrella brakeleyi",3,"not reported"
"Chaoboridae","Eucorenthrinae","","Eucorethra underwoodi",4,"not reported"
"Chaoboridae","Chaoborinae","","Mochlonyx velunitus",4,"XY"
"Chironomidae","Tanypodinae","","Ablabesmyia longistyla",6,"not reported"
"Chironomidae","Tanypodinae","","Ablabesmyia monilis",3,"not reported"
"Chironomidae","Tanypodinae","","Ablabesmyia phatta",6,"not reported"
"Chironomidae","Tanypodinae","","Anatopynia dyar",6,"not reported"
"Chironomidae","Tanypodinae","","Anatopynia plumipes",5,"not reported"
"Chironomidae","","","Axarus festivus",4,"not reported"
"Chironomidae","","","Camptochironomus tentans",4,"not reported"
"Chironomidae","","","Chironimus plumosus",4,"not reported"
"Chironomidae","Chironominae","","Chironomus acerbiphilus",4,"not reported"
"Chironomidae","Chironominae","","Chironomus agilis",4,"not reported"
"Chironomidae","Chironominae","","Chironomus albimaculatus",4,"not reported"
"Chironomidae","Chironominae","","Chironomus alluaudi",4,"not reported"
"Chironomidae","","","Chironomus alpestris",4,"not reported"
"Chironomidae","Chironominae","","Chironomus amissum",4,"not reported"
"Chironomidae","Chironominae","","Chironomus annularius",4,"not reported"
"Chironomidae","Chironominae","","Chironomus anthracinus",4,"not reported"
"Chironomidae","Chironominae","","Chironomus balatonicus",4,"not reported"
"Chironomidae","Chironominae","","Chironomus balatonicus",4,"not reported"
"Chironomidae","","","Chironomus bathophilus",4,"not reported"
"Chironomidae","Chironominae","","Chironomus behningi",4,"not reported"
"Chironomidae","Chironominae","","Chironomus beljaninae",3,"not reported"
"Chironomidae","Chironominae","","Chironomus bernensis",4,"not reported"
"Chironomidae","Chironominae","","Chironomus bonus",4,"not reported"
"Chironomidae","Chironominae","","Chironomus borokensis",4,"not reported"
"Chironomidae","Chironominae","","Chironomus cingulata",4,"not reported"
"Chironomidae","Chironominae","","Chironomus commutatus",3,"not reported"
"Chironomidae","","","Chironomus confinis",4,"not reported"
"Chironomidae","Chironominae","","Chironomus crassicaudatus",3,"not reported"
"Chironomidae","Chironominae","","Chironomus cucini",4,"not reported"
"Chironomidae","","","Chironomus dorsalis",4,"not reported"
"Chironomidae","Chironominae","","Chironomus entis",4,"not reported"
"Chironomidae","Chironominae","","Chironomus entis",4,"not reported"
"Chironomidae","Chironominae","","Chironomus esai",4,"not reported"
"Chironomidae","Chironominae","","Chironomus formosipennis",4,"not reported"
"Chironomidae","Chironominae","","Chironomus fraternus",4,"not reported"
"Chironomidae","Chironominae","","Chironomus heterodentatus",4,"not reported"
"Chironomidae","Chironominae","","Chironomus hyperboreus",4,"not reported"
"Chironomidae","Chironominae","","Chironomus islandicus",4,"not reported"
"Chironomidae","Chironominae","","Chironomus jonmartini",4,"not reported"
"Chironomidae","Chironominae","","Chironomus luridus",4,"not reported"
"Chironomidae","Chironominae","","Chironomus major",4,"not reported"
"Chironomidae","Chironominae","","Chironomus muratensis",4,"not reported"
"Chironomidae","Chironominae","","Chironomus muratensis",4,"not reported"
"Chironomidae","Chironominae","","Chironomus neocorax",4,"not reported"
"Chironomidae","Chironominae","","Chironomus nudiventris",3,"not reported"
"Chironomidae","Chironominae","","Chironomus plumosus",4,"not reported"
"Chironomidae","Chironominae","","Chironomus plumosus",4,"not reported"
"Chironomidae","Chironominae","","Chironomus plumosus",4,"not reported"
"Chironomidae","Chironominae","","Chironomus polonicus",4,"not reported"
"Chironomidae","Chironominae","","Chironomus propepulcher",3,"not reported"
"Chironomidae","","","Chironomus pulcher",4,"not reported"
"Chironomidae","Chironominae","","Chironomus reissi",4,"not reported"
"Chironomidae","Chironominae","","Chironomus riparius",4,"not reported"
"Chironomidae","","","Chironomus riperiua",4,"not reported"
"Chironomidae","Chironominae","","Chironomus sinicus",4,"not reported"
"Chironomidae","","","Chironomus sp",4,"not reported"
"Chironomidae","","","Chironomus sp.",3,"not reported"
"Chironomidae","","","Chironomus sp.",4,"not reported"
"Chironomidae","","","Chironomus sp.",4,"not reported"
"Chironomidae","Chironominae","","Chironomus sp.1",4,"not reported"
"Chironomidae","Chironominae","","Chironomus sp.2",4,"not reported"
"Chironomidae","Chironominae","","Chironomus sp.Al1",4,"not reported"
"Chironomidae","Chironominae","","Chironomus sp.J",4,"not reported"
"Chironomidae","Chironominae","","Chironomus sp.K",4,"not reported"
"Chironomidae","Chironominae","","Chironomus sp.Kisumu",4,"not reported"
"Chironomidae","Chironominae","","Chironomus sp.Nakuru",4,"not reported"
"Chironomidae","Chironominae","","Chironomus sp.pr.Agilis",4,"not reported"
"Chironomidae","Chironominae","","Chironomus sp.Tu1",4,"not reported"
"Chironomidae","Chironominae","","Chironomus staegeri",3,"not reported"
"Chironomidae","Chironominae","","Chironomus suwai",4,"not reported"
"Chironomidae","Chironominae","","Chironomus tardus",4,"not reported"
"Chironomidae","","","Chironomus thummi",4,"not reported"
"Chironomidae","Chironominae","","Chironomus trabicola",4,"not reported"
"Chironomidae","Chironominae","","Chironomus transvaalensis",4,"not reported"
"Chironomidae","Chironominae","","Chironomus tuvanicusspec.nov.",3,"not reported"
"Chironomidae","Chironominae","","Chironomus usenicus",4,"not reported"
"Chironomidae","Chironominae","","Chironomus valkanovi",3,"not reported"
"Chironomidae","Chironominae","","Chironomus vancouveri",4,"not reported"
"Chironomidae","Tanypodinae","","Clinotanypus nervosus",7,"XY"
"Chironomidae","Orthocladiinae","","Cricotopus bicinctus",3,"not reported"
"Chironomidae","Orthocladiinae","","Cricotopus f.l.ex.Gr.Bicinctus",2,"not reported"
"Chironomidae","Orthocladiinae","","Cricotopus f.l.ex.grtrifaciasp.1",3,"not reported"
"Chironomidae","Orthocladiinae","","Cricotopus f.l.ex.grtrifaciasp.2",3,"not reported"
"Chironomidae","","","Cryptochironomus defectus",3,"not reported"
"Chironomidae","","","Cryptochironomus obreptans",2,"not reported"
"Chironomidae","","","Cryptochironomus sp.",4,"not reported"
"Chironomidae","","","Demeijerea rufipes",3,"not reported"
"Chironomidae","","","Demicryptochironomus gr.Vulneratus",3,"not reported"
"Chironomidae","","","Demicryptochironomus vulneratus",4,"not reported"
"Chironomidae","Tanypodinae","","Derotanypus sibiricus",4,"not reported"
"Chironomidae","Tanypodinae","","Derotanypus sibiricus",8,"not reported"
"Chironomidae","Diamesinae","","Diamesa aberrata",4,"not reported"
"Chironomidae","Diamesinae","","Diamesa bertrami",4,"not reported"
"Chironomidae","Diamesinae","","Diamesa carpatica",4,"not reported"
"Chironomidae","Diamesinae","","Diamesa ex.Gr.Prolongata",4,"not reported"
"Chironomidae","Diamesinae","","Diamesa hamaticornis",4,"not reported"
"Chironomidae","Diamesinae","","Diamesa heterodentata",4,"not reported"
"Chironomidae","Diamesinae","","Diamesa leona",4,"not reported"
"Chironomidae","Diamesinae","","Diamesa nivalis",4,"not reported"
"Chironomidae","Diamesinae","","Diamesa stilata",4,"not reported"
"Chironomidae","Diamesinae","","Diamesa thienemanni",4,"not reported"
"Chironomidae","Diamesinae","","Diamesa tsutsuii",4,"not reported"
"Chironomidae","Chironominae","","Dicrotendipes lobiger",4,"not reported"
"Chironomidae","Chironominae","","Endochironomus albipennis",4,"not reported"
"Chironomidae","Chironominae","","Endochironomus impar",4,"not reported"
"Chironomidae","","","Endochironomus sp",4,"not reported"
"Chironomidae","Chironominae","","Endochironomus tendens",3,"not reported"
"Chironomidae","Chironominae","","Glyptotendipes aequalis",4,"not reported"
"Chironomidae","Chironominae","","Glyptotendipes barbipes",4,"not reported"
"Chironomidae","Chironominae","","Glyptotendipes caulicola",4,"not reported"
"Chironomidae","Chironominae","","Glyptotendipes glaucus",4,"not reported"
"Chironomidae","Chironominae","","Glyptotendipes glaucus",4,"not reported"
"Chironomidae","Chironominae","","Glyptotendipes glaucus",4,"not reported"
"Chironomidae","Chironominae","","Glyptotendipes gripekoveni",4,"not reported"
"Chironomidae","Chironominae","","Glyptotendipes pallens",4,"not reported"
"Chironomidae","Chironominae","","Glyptotendipes paripes",4,"not reported"
"Chironomidae","","","Glyptotendipes polytomus",4,"not reported"
"Chironomidae","Chironominae","","Glyptotendipes salinus",4,"not reported"
"Chironomidae","","","Glyptotendipes sp",3,"not reported"
"Chironomidae","","","Glyptotendipes sp",4,"not reported"
"Chironomidae","Chironominae","","Glyptotendipes sp.Afr.",4,"not reported"
"Chironomidae","","","Kiefferulus tendipediformis(cytotype1)",4,"not reported"
"Chironomidae","","","Kiefferulus tendipediformis(cytotype2)",3,"not reported"
"Chironomidae","Diamesinae","","Lappodiamesa willasseni",4,"not reported"
"Chironomidae","","","Lipiniella arenicola",3,"not reported"
"Chironomidae","","","Lipiniella prima",4,"not reported"
"Chironomidae","Tanypodinae","","Macropelopia nebulosa",4,"not reported"
"Chironomidae","Tanypodinae","","Macropelopia paranebulosa",4,"not reported"
"Chironomidae","","","Micropsectra praecox",4,"not reported"
"Chironomidae","","","Microtendipes pedellus",4,"not reported"
"Chironomidae","Prodiamesinae","","Monodiamesa bathyphila",3,"not reported"
"Chironomidae","Prodiamesinae","","Monodiamesa sp.",3,"not reported"
"Chironomidae","","","Nilothauma sasai",4,"not reported"
"Chironomidae","Diamesinae","","Pagastia altaica",4,"not reported"
"Chironomidae","Diamesinae","","Pagastia gaedii",4,"not reported"
"Chironomidae","Diamesinae","","Pagastia lanceolata",4,"not reported"
"Chironomidae","Diamesinae","","Pagastia montium",4,"not reported"
"Chironomidae","Diamesinae","","Pagastia orientalis",4,"not reported"
"Chironomidae","","","Polypedilum gr.Cultellatum",4,"not reported"
"Chironomidae","","","Polypedilum vanderplanki",4,"not reported"
"Chironomidae","Tanypodinae","","Procladius choreus",7,"not reported"
"Chironomidae","Tanypodinae","","Procladius crassinervis",7,"XY"
"Chironomidae","Tanypodinae","","Procladius ferrugineus",7,"not reported"
"Chironomidae","Tanypodinae","","Procladius sp",4,"not reported"
"Chironomidae","Tanypodinae","","Procladius sp1.",4,"not reported"
"Chironomidae","Prodiamesinae","","Prodiamesa bureschi",3,"not reported"
"Chironomidae","Prodiamesinae","","Prodiamesa levanidovae",3,"not reported"
"Chironomidae","Prodiamesinae","","Prodiamesa olivacea",5,"not reported"
"Chironomidae","Prodiamesinae","","Prodiamesa olivacea",3,"not reported"
"Chironomidae","Prodiamesinae","","Prodiamesa olivacea",3,"not reported"
"Chironomidae","Prodiamesinae","","Prodiamesa sp.",3,"not reported"
"Chironomidae","","","Propsilocerus akamusi",3,"not reported"
"Chironomidae","","","Propsilocerus jacuticus",3,"not reported"
"Chironomidae","Diamesinae","","Protanypus exgr.Morio",7,"not reported"
"Chironomidae","Tanypodinae","","Psectrotanypus sp.",8,"not reported"
"Chironomidae","Tanypodinae","","Psectrotanypus varius",8,"not reported"
"Chironomidae","Diamesinae","","Pseudodiamesa branickii",3,"not reported"
"Chironomidae","Diamesinae","","Pseudodiamesa branickii",4,"not reported"
